version=1.0.0;;;;;;;;;;;;;
asin;ean.value;ean#2.value;ean#3.value;ean#4.value;ean#5.value;ean#6.value;ean#7.value;ean#8.value;ean#9.value;ean#10.value;ean#11.value;ean#12.value;ean#13.value
B015N9FZOS;5397039338118;;;;;;;;;;;;
B076JG8Z6N;5060301693849;;;;;;;;;;;;
B07N7RXPLR;4718017252997;;;;;;;;;;;;
B07GS16CNY;4718017076364;;;;;;;;;;;;
B01GE9QWB6;0779184254201;0766907835724;0889842093100;5057103158522;;;;;;;;;
B077HC1XDX;0843591028509;;;;;;;;;;;;
B07FMXK79G;4713883816748;;;;;;;;;;;;
B077FZPCRH;0843591026499;;;;;;;;;;;;
B00RORBQNW;0843591055710;8809321842816;7841449277997;5054629455043;0780746299486;7841449278031;4056572724154;;;;;;
B07MCCHNKY;4718017216678;;;;;;;;;;;;
B07LCR23L4;4718017105002;;;;;;;;;;;;
B014W1Z4DU;0843591059350;0077347926836;;;;;;;;;;;
B07BJJRWLS;0740617278149;;;;;;;;;;;;
B07PF1TBZF;0840006607632;;;;;;;;;;;;
B07J69SW3Z;4718017106450;;;;;;;;;;;;
B0799LZLQX;4712900912593;;;;;;;;;;;;
B00QIH1GD4;4718755062582;0840046034115;0801947293193;0804067310559;0809394595631;0804904113916;0808112949190;;;;;;
B01C4HCSOC;5099206063853;;;;;;;;;;;;
B07QZ51765;4719072641658;;;;;;;;;;;;
B009VV56TY;0843591034470;;;;;;;;;;;;
B07N4NPK8D;4719072612672;;;;;;;;;;;;
B000N79VQO;6935364020293;5053460259148;;;;;;;;;;;
B07B2ZZ2Y9;4719512071359;;;;;;;;;;;;
B078YHL6YC;0884102042591;4719512070086;;;;;;;;;;;
B00QNDL4C6;0755034263494;5054629096055;0884102026652;4719512047682;;;;;;;;;
B075DDZ894;4711174722594;;;;;;;;;;;;
B07C6K3MB6;4712900935288;;;;;;;;;;;;
B078ZT6LLM;4712900810851;;;;;;;;;;;;
B07BRNK3Y9;0889349974711;4712900974713;;;;;;;;;;;
B07BKK9SRD;4719331802998;;;;;;;;;;;;
B07G3YNLJB;0649528787323;;;;;;;;;;;;
B06XHSWZ71;0649528781888;0649528781901;;;;;;;;;;;
B075L8WW51;4712900843460;;;;;;;;;;;;
B003BEU4NU;5051395532350;0884962780978;0808736844642;8087368446352;0808736844659;0884962780596;0808736844666;9858592676100;8849627805962;0808736844635;;;
B000B7KX4A;0725184846687;0829160798592;5051964031574;8291607986152;0829160798622;0884962559420;0829160798608;0829160798615;0829160798639;8291607985926;;;
B000075ALY;4960999865270;;;;;;;;;;;;
B071XW6SCQ;4719331301316;;;;;;;;;;;;
B079H4Y4HF;0740617275599;;;;;;;;;;;;
B071F9MLJJ;7180378453196;0718037845319;;;;;;;;;;;
B005BBT0JU;4719331323202;4719331320188;4719331338282;;;;;;;;;;
B013QFRZL2;0718037810775;;;;;;;;;;;;
B07BRNLKKG;4712900991178;;;;;;;;;;;;
B06ZZNGLXY;4719331301323;;;;;;;;;;;;
B015VPX3G6;4054318733729;0675901364782;5482491238912;6953041337823;5032037078870;5032037078887;0735858305358;6953041337564;;;;;
B00J8E8YKC;5054533602397;5054531171796;5054230814147;5054230808085;0740617230239;7406172302394;5054531097089;5054484602392;5054230928745;;;;
B01N6PVEAW;4719692015174;;;;;;;;;;;;
B075WYBQXJ;0763649123119;8719706003766;0763649094419;;;;;;;;;;
B075ZNVW32;4719331802318;;;;;;;;;;;;
B01A9EN4YU;4712900164534;;;;;;;;;;;;
B01DGOF6GE;0649528777041;;;;;;;;;;;;
B071Y7XJXN;4719072516147;;;;;;;;;;;;
B00GD5D3MS;0740617225914;7406172259148;;;;;;;;;;;
B019HVO7II;4058829157678;0843591083720;;;;;;;;;;;
B071FWBF6J;4948570115365;;;;;;;;;;;;
B07JKVV7WN;4710636270154;;;;;;;;;;;;
B07PCHQHJM;4719072626693;;;;;;;;;;;;
B01KCSE3ZC;4719072469818;;;;;;;;;;;;
B003OICYTK;3760084590688;;;;;;;;;;;;
B019W1H0BO;4713392135378;;;;;;;;;;;;
B00I940KUE;4895106270091;;;;;;;;;;;;
B00A2IM0HQ;0885370457315;;;;;;;;;;;;
B001QXCTYK;3760084592026;;;;;;;;;;;;
B00GNE0AKW;4895106269149;;;;;;;;;;;;
B00GK9N5GG;4719331231194;;;;;;;;;;;;
B00LPI9LI8;4713147367672;;;;;;;;;;;;
B00C1XLGN4;4719331311094;;;;;;;;;;;;
B009OMGTDM;;;;;;;;;;;;;
B005G7QNG2;4716659001225;;;;;;;;;;;;
B00P7PNC9O;4716659842613;;;;;;;;;;;;
B007ZO7T9E;4716659216544;;;;;;;;;;;;
B006LFGYVM;3700458102277;;;;;;;;;;;;
B00835ZCJS;0001910285556;4719512037348;;;;;;;;;;;
B00HUNQN10;4716659653707;;;;;;;;;;;;
B00DPO1BMO;4719331231163;;;;;;;;;;;;
B004TWCXFU;4719543178874;;;;;;;;;;;;
B00J3KAGRK;4719072335366;0614290426305;;;;;;;;;;;
B00GNE09B2;4895106269088;;;;;;;;;;;;
B00681D9R6;5032037019941;;;;;;;;;;;;
B00YPURT9Q;4719072383015;;;;;;;;;;;;
B009OBIXCS;4712196334772;;;;;;;;;;;;
B01BGPWSWA;4713392193637;;;;;;;;;;;;
B0061YE97Y;4719543182406;;;;;;;;;;;;
B0158XK0DU;4719072416737;;;;;;;;;;;;
B004SAIDAC;4719543179192;;;;;;;;;;;;
B0013YD1MQ;6935364020453;3548383172091;;;;;;;;;;;
B014GZYX6G;4719072411268;;;;;;;;;;;;
B0063UWN7Y;4260070123016;;;;;;;;;;;;
B003OICYS6;3760084590596;;;;;;;;;;;;
B00EC6E49Q;4712196973902;;;;;;;;;;;;
B004Z5BYH4;4719543180273;;;;;;;;;;;;
B015JOH7P2;8714574632582;;;;;;;;;;;;
B005I9IHNA;4719512031162;;;;;;;;;;;;
B00WTEN1R4;4719072392291;;;;;;;;;;;;
B00WTEJ7AE;4719072393137;;;;;;;;;;;;
B00N5J2I5I;4719331832247;;;;;;;;;;;;
B00OCC4TYA;4716659871507;;;;;;;;;;;;
B004NJMH3M;4719331303082;;;;;;;;;;;;
B00JZVTODY;5060301690459;;;;;;;;;;;;
B013M880BW;3700085659991;;;;;;;;;;;;
B009336J5A;8806085288881;;;;;;;;;;;;
B003SHHF46;4711140873190;;;;;;;;;;;;
B005N5Q2MW;4711140878270;;;;;;;;;;;;
B00NQ864I0;4719331336141;;;;;;;;;;;;
B00M40BL16;4713147420605;;;;;;;;;;;;
B009KZ42TG;4718755040849;;;;;;;;;;;;
B003W217MS;6935364054038;;;;;;;;;;;;
B00NM9WHE8;0888772494490;;;;;;;;;;;;
B00LLX3NQS;4716659788188;;;;;;;;;;;;
B00T6DTHQA;4719072385767;;;;;;;;;;;;
B00AU022Y2;3700458102178;;;;;;;;;;;;
B009FWMLQK;4716659284413;;;;;;;;;;;;
B002SP2FVM;4719512016428;;;;;;;;;;;;
B002RXM5WE;4895106248779;;;;;;;;;;;;
B00YF8L46C;4719072406561;;;;;;;;;;;;
B014IN3BVY;4713392172960;;;;;;;;;;;;
B006O7XUTG;4719331347192;;;;;;;;;;;;
B00GWKMHIA;4719072320270;;;;;;;;;;;;
B008FL8DKK;0885370277951;8853702779512;;;;;;;;;;;
B006B3BM9I;6935364051600;6935364051563;;;;;;;;;;;
B000RHMD7O;6935364030025;3548383085506;;;;;;;;;;;
B00GZ1HTHA;4719331346218;;;;;;;;;;;;
B019Y1TQHS;4717964403759;;;;;;;;;;;;
B008YWBVFE;8020252014435;;;;;;;;;;;;
B007KZQEHG;4719543185711;;;;;;;;;;;;
B00B2145DO;4712196526191;;;;;;;;;;;;
B0767NJGS5;0191545090233;;;;;;;;;;;;
B00V68NTM6;5057103048953;0730143305433;;;;;;;;;;;
B07211YMT3;0889842203516;;;;;;;;;;;;
B079FWT6KM;4719512064412;;;;;;;;;;;;
B013WEY2KO;0843591087544;;;;;;;;;;;;
B01MPWZURK;4712900533590;;;;;;;;;;;;
B0748KG9CK;0889523010778;4719331302399;;;;;;;;;;;
B079S4Y6VK;4712900913576;;;;;;;;;;;;
B01GRCYKZK;4719072467845;;;;;;;;;;;;
B00PNALW3G;4719072365332;;;;;;;;;;;;
B06ZYC3XDB;4719331301422;;;;;;;;;;;;
B01G85929K;4712900347883;;;;;;;;;;;;
B00AQ9CF8K;0132017587417;0816909104332;4719072286316;0803982773289;;;;;;;;;
B07GH27MVV;4718017076425;;;;;;;;;;;;
B07CC76DX7;4719072564254;;;;;;;;;;;;
B07572THXM;4719072528775;;;;;;;;;;;;
B016RDWHXQ;4719072422707;;;;;;;;;;;;
B004ABO7QI;8536692580930;5054242086006;5054814463877;0885370249453;0758399161184;0999996732425;5054565235433;4988648770263;8853702494538;0803982736574;0163120265565;;
B0159F7ZUI;4058154049198;4719072425647;0824142122150;;;;;;;;;;
B01MZ65FQS;4719072496111;;;;;;;;;;;;
B01AQHC7CU;4719072444358;;;;;;;;;;;;
B01BTVXMT4;4719072448066;;;;;;;;;;;;
B016BIRKWA;4712900193091;;;;;;;;;;;;
B07H343W64;4718017077736;;;;;;;;;;;;
B0793NBHPZ;4712900914757;;;;;;;;;;;;
B016EY92X6;4719072433055;4058154036037;5057103007691;;;;;;;;;;
B009D7CSPG;5053460770810;0843591029308;5053460857429;;;;;;;;;;
B00K80N54K;4716659759522;;;;;;;;;;;;
B01GFW1974;4719331821364;;;;;;;;;;;;
B01B2UWV4O;4719072441678;;;;;;;;;;;;
B013I6LFPQ;4054842095799;4712900008104;;;;;;;;;;;
B013XQ7VI6;4719072416324;;;;;;;;;;;;
B016KOKRBQ;4719072426217;;;;;;;;;;;;
B015QVE9ZO;0843591059428;;;;;;;;;;;;
B07H66CLJN;4718017076401;;;;;;;;;;;;
B06WWR533P;4719072512224;;;;;;;;;;;;
B00K8KPXUO;0824142023051;4719072343170;;;;;;;;;;;
B00V3QI278;4719072392512;;;;;;;;;;;;
B008BUPQ5A;4948570111558;;;;;;;;;;;;
B001AITPVG;8715946492605;8715946416304;8715946416274;8715946493053;;;;;;;;;
B00SWEM4DW;4711174721733;;;;;;;;;;;;
B01BGBJ8SQ;5099206064218;0065030864275;;;;;;;;;;;
B00JZFG6QS;6935364070816;;;;;;;;;;;;
B01H07FVCM;4718755065460;;;;;;;;;;;;
B0123ZBULW;0843591069977;4053162932616;4056572725861;;;;;;;;;;
B00B06K9HM;4948570111671;;;;;;;;;;;;
B00K8PLN4O;7841449279267;7841449279144;0815671011862;5054629473214;0808112931287;0846829807501;5054533649439;5054484649434;5060301691111;;;;
B007QQ464C;0815671010780;;;;;;;;;;;;
B018J4CDHQ;8809213768484;;;;;;;;;;;;
B071F2HGYT;8886419370987;;;;;;;;;;;;
B07CB4P2F4;4719072562892;;;;;;;;;;;;
B00E5YRL5Y;4719512042281;;;;;;;;;;;;
B0150HO6U2;4719512048092;;;;;;;;;;;;
B01FZP2D0E;5397063826254;;;;;;;;;;;;
B01NAGY085;4712900602258;0889349602256;;;;;;;;;;;
B00MFG58N6;4977766739405;0012502638872;;;;;;;;;;;
B00KFNQ19G;8238842066546;8809213766657;;;;;;;;;;;
B004I5J2XY;6935364052201;0631058211751;6213759771877;;;;;;;;;;
B01IFGFTJ2;5060301693245;;;;;;;;;;;;
B076ZHB9H9;0843591064446;;;;;;;;;;;;
B00K5QRNX6;4056572714681;4719072342388;;;;;;;;;;;
B003YLM5IM;5412810134694;;;;;;;;;;;;
B01LWUPSGT;0778656072879;;;;;;;;;;;;
B00CPLGFII;0730143303248;;;;;;;;;;;;
B005KIR8WU;4719543416525;;;;;;;;;;;;
B003Z14XWW;6923520262182;;;;;;;;;;;;
B009OUXPHM;4716659310815;;;;;;;;;;;;
B00971YDJM;0885370412703;;;;;;;;;;;;
B009L3HV9A;4716659309444;;;;;;;;;;;;
B00GKMQ5ZQ;0888182160138;;;;;;;;;;;;
B00IMVEO74;4719331301101;;;;;;;;;;;;
B00O4ZLT5C;4716659871460;;;;;;;;;;;;
B00NPQVELA;0843591053242;;;;;;;;;;;;
B00FDKXCJ8;0843591038560;;;;;;;;;;;;
B0081VNAUM;5052182000021;0021112045987;4718755037306;;;;;;;;;;
B00DVXVN5O;4719072290481;;;;;;;;;;;;
B004ZS8Y6K;0606449079005;;;;;;;;;;;;
B0019LXTIO;4005922192556;0606449056983;;;;;;;;;;;
B004MGF6BQ;0606449076974;;;;;;;;;;;;
B005BFCMVO;5099206030008;;;;;;;;;;;;
B008QJRLK4;4719072269517;;;;;;;;;;;;
B0071LP6OG;4719072240479;;;;;;;;;;;;
B005DVJR9G;4719072230784;;;;;;;;;;;;
B0089CG9OW;4719072265465;;;;;;;;;;;;
B00FTV4JNY;4719072316105;;;;;;;;;;;;
B00NY23VY8;4719072366841;4056572715992;;;;;;;;;;;
B0051BB2JQ;4719072225414;;;;;;;;;;;;
B004LLQNZU;4719072207212;;;;;;;;;;;;
B008D1JKDQ;8169090987782;;;;;;;;;;;;
B00K3JIKPU;4713147376551;;;;;;;;;;;;
B014IN13TQ;4719072412524;;;;;;;;;;;;
B007QIQMJW;4895106263017;;;;;;;;;;;;
B005JFO6VK;4719512034262;;;;;;;;;;;;
B0030ZY1MK;4719072146740;;;;;;;;;;;;
B00E5YROC4;4716659553496;;;;;;;;;;;;
B005I58KUO;4719543181980;;;;;;;;;;;;
B004YJOTY6;4719543389751;;;;;;;;;;;;
B00963S3ZQ;4719331331191;;;;;;;;;;;;
B01LWLK2BU;4713392762277;;;;;;;;;;;;
B00EQ0P35M;4716659538073;;;;;;;;;;;;
B0085U5UIE;4719072254223;;;;;;;;;;;;
B00S53I362;4716659960614;;;;;;;;;;;;
B00AXWD5IO;4716659380252;;;;;;;;;;;;
B0166C6TBE;4712900110609;;;;;;;;;;;;
B00I3I286K;4713147136889;;;;;;;;;;;;
B00AZVT9PQ;4719072282509;;;;;;;;;;;;
B004HIVQXQ;6935364052102;0163120805440;0021111620161;0983175139914;0845973052102;0132018276419;5052584407862;0804067404401;5052217388414;;;;
B01A9EQ7KI;0889349230183;4712900230185;;;;;;;;;;;
B004I50IQY;4260070122125;;;;;;;;;;;;
B002NDT922;4260070122194;;;;;;;;;;;;
B014QPFIWY;4719072418557;;;;;;;;;;;;
B004NSJ43O;4719543178522;;;;;;;;;;;;
B00NHJQ8C0;4056572725328;0843591052092;5054629505724;;;;;;;;;;
B01AQHCC3Y;4719072443924;;;;;;;;;;;;
B01N3MXA73;4712900534085;;;;;;;;;;;;
B009O7YORK;0730143302593;;;;;;;;;;;;
B06X3XZJ5S;4712900616477;;;;;;;;;;;;
B01MUCTKIZ;4719072503826;;;;;;;;;;;;
B019Q7RK9G;0843591066082;;;;;;;;;;;;
B01NANSYMG;4712900553956;;;;;;;;;;;;
B01KIDGPZC;4719072473808;;;;;;;;;;;;
B00RLJCEV6;4719072380229;;;;;;;;;;;;
B014R8EZ1U;4719072414825;;;;;;;;;;;;
B00K8KJ6Y8;4719072343392;;;;;;;;;;;;
B0063KHKKY;0816909080872;0320127551750;4719072241193;0115970739857;0898029647036;0807030503965;0745883554812;0573207268035;;;;;
B00IMPO5VU;0731215287855;5054533590250;0809392591741;5711045972225;0808112923794;5054531170560;5054484590255;3722543428291;4923113120587;4053162421752;0646832121430;0797045619723;7180378233248
B01N2Y2NAA;4719331846404;;;;;;;;;;;;
B014QPFEJQ;4712900149401;;;;;;;;;;;;
B01CQY6PGU;4719331802202;;;;;;;;;;;;
B019W1HGV8;4719072439200;;;;;;;;;;;;
B01N25WK6P;4712900616453;;;;;;;;;;;;
B071CX3W5D;4719331301453;;;;;;;;;;;;
B00HMZY2LO;4713147136469;;;;;;;;;;;;
B00GSIFLGQ;4719072322991;;;;;;;;;;;;
B075GZ2727;;;;;;;;;;;;;
B00BTVSV4G;4719072286095;;;;;;;;;;;;
B008FLI9OU;8806071926292;;;;;;;;;;;;
B00OWOZYP6;4716659839644;;;;;;;;;;;;
B005I58KW2;4719543181751;;;;;;;;;;;;
